"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"64855","29011",95,0.053 
"64855","29097",1692,0.947 
"64856","29119",3734,1 
"64857","29097",341,1 
"64858","29145",157,1 
"64859","29097",1151,1 
"64861","29119",1005,0.955 
"64861","29145",47,0.045 
"64862","29097",2630,0.851 
"64862","29109",140,0.045 
"64862","29145",321,0.104 
"64863","29119",1672,1 
"64865","29119",532,0.095 
"64865","29145",5082,0.905 
"64866","29145",1326,1 
"64867","29119",777,0.556 
"64867","29145",620,0.444 
"64870","29097",11365,1 
"64873","29109",513,0.55 
"64873","29145",420,0.45 
"64874","29009",897,1 
"65001","29125",106,0.23 
"65001","29151",355,0.77 
"65010","29019",4040,1 
"65011","29135",107,0.05 
